,LOCALITY,COUNTRY,CONTINENT,CHARACTER,EPLINE,EPISODE,LINE,CONTEXT,COMMENT,Locality_Count,Country_Count,Continent_Count,EpLocalCount,EpCountryCount,EpContCount,CharLocCount,CharCountryCount,CharContCount,LATITUDE,LONGITUDE
139,Sea of Galilee,Turkish Empire,Asia,Leopold Bloom,4.155,4,155,He took a page up from the pile of cut sheets: the model farm at Kinnereth on th,The sea of Galilee is also known as the Sea of Tiberias and the Sea of Kinneret.,3,109,186,2,12,14,2,31,48,32.83333,35.58333
141,Agendath Netaim,Turkish Empire,Asia,Leopold Bloom,4.191,4,191,"He walked back along Dorset street, reading gravely. Agendath Netaim: planter's","Agdendath is the ""model farm at Kennereth,"" which is the sea of Galilee, and as",16,109,186,2,12,14,3,31,48,32.83333,35.58333
143,Jaffa,Turkish Empire,Asia,Leopold Bloom,4.194,4,194,Orangegroves and immense melonfields north of Jaffa.,,3,109,186,2,12,14,3,31,48,32.05,34.75
144,Bleibtreustrasse,Germany,Europe,Leopold Bloom,4.199,4,199,"Can pay ten down and the balance in yearly instalments. Bleibtreustrasse 34, Ber",,4,33,1330,1,1,21,2,3,179,52.50406,13.31984
149,Levant,Turkish Empire,Asia,Leopold Bloom,4.212,4,212,"Coming all that way: Spain, Gibraltar, Mediterranean, the Levant.",,1,109,186,1,12,14,1,31,48,32.3,35.5
151,Dead Sea,Turkish Empire,Asia,Leopold Bloom,4.219,4,219,"A barren land, bare waste. Vulcanic lake, the dead sea: no fish, weedless...""",,7,109,186,1,12,14,2,31,48,31.5,35.5
152,Edom,Turkish Empire,Asia,Leopold Bloom,4.222,4,222,"Brimstone they called it raining down: the cities of the plain: Sodom, gomorrah,",,1,109,186,1,12,14,1,31,48,31.2,35.38
153,Gomorrah,Turkish Empire,Asia,Leopold Bloom,4.222,4,222,"Brimstone they called it raining down: the cities of the plain: Sodom, gomorrah,",,2,109,186,1,12,14,1,31,48,31.13159,35.5294
154,Sodom,Turkish Empire,Asia,Leopold Bloom,4.222,4,222,"Brimstone they called it raining down: the cities of the plain: Sodom, gomorrah,",,1,109,186,1,12,14,1,31,48,31.25393,35.53418
155,Mullingar,Ireland,Europe,Leopold Bloom,4.25,4,250,He lookked at them. Mullingar. Milly.,,10,556,1330,1,9,21,6,71,179,53.5224,-7.3378
156,lough Owel,Ireland,Europe,Leopold Bloom,4.281,4,281,"Then he split open his letter, glancing down the page and over. Thanks: new tam:",,2,556,1330,2,9,21,1,71,179,53.57306,-7.38833
162,"Greville Arms Hotel, Mullingar",Ireland,Europe,Milly Bloom,4.406,4,406,There is to be a concert in the Greville Arms on Saturday.,"Since Milly is writing the letter, we give her the place mention.",1,556,1330,1,9,21,1,2,2,53.5258,-7.34093
165,Belfast,Ireland,Europe,Narrator 5,5.017,5,17,In westland row he hated before the window of the Belfast and Oriental Tea compa,,8,556,1330,3,5,14,1,1,1,54.597,-5.93
172,Wicklow,Ireland,Europe,Leopold Bloom,5.181,5,181,Bob Cowley lent him his for the Wicklow regatta concert last year and never hear,,4,556,1330,1,5,14,1,71,179,52.9779,-6.033
175,Vienna,Austria,Europe,Leopold Bloom,5.199,5,199,Year before I was born that was: sixtyfive. And Ristori in Vienna.,,6,15,1330,1,1,14,1,3,179,48.2,16.36667
183,Albany,Scotland,Europe,Leopold Bloom,5.498,5,498,"One of the old Queen's sons, duke of Albany was it?",,1,27,1330,1,1,14,1,5,179,56.33,-3.5
187,Ascot Heath,England,Europe,Bantam Lyons,5.532,5,532,"Ascot. Gold cup. Wait, Bantam Lyons muttered.",,4,210,1330,1,2,14,1,1,2,51.4084,-0.6707
190,Eton,England,Europe,Leopold Bloom,6.076,6,76,Hear his voice in the house. Walking beside Molly in an Eton suit. My son,"Referring to the uniform worn by students of Eton public school, England",2,210,1330,1,4,28,1,23,179,51.492,-0.608
192,Killarney,Ireland,Europe,Leopold Bloom,6.186,6,186,"Could I go to see Leah tonight, I wonder. I said I. Or the Lily of Killarney.",,6,556,1330,1,18,28,2,71,179,52.0588,-9.5072
193,Bristol,England,Europe,Leopold Bloom,6.187,6,187,Wet bright bills for next week. Fun on the Bristol.,,1,210,1330,1,4,28,1,23,179,51.45,-2.58333
194,Clare,Ireland,Europe,Leopold Bloom,6.217,6,217,"Well, no Mr Bloom said. In point of fact I have to go down to the couny Clare on",,2,556,1330,2,18,28,1,71,179,52.83333,-9
195,Waterford,Ireland,Europe,Leopold Bloom,6.234,6,234,"Same house as Molly's namesake, Tweedy, crown solicitor for Waterford.",,3,556,1330,1,18,28,1,71,179,52.25667,-7.12917
203,Milan,Italy,Europe,Leopold Bloom,6.406,6,406,"Yes, Mr Bloom said, and another thing I often thought is to have municipal funer",,3,76,1330,1,2,28,1,9,179,45.46667,9.18333
205,Athlone,Ireland,Europe,Leopold Bloom,6.444,6,444,"Athlone, Mullingar, Moyvalley, I could make a walking tour to see Milly by the c",,1,556,1330,1,18,28,1,71,179,53.4333,-7.95
207,Moyvalley,Ireland,Europe,Leopold Bloom,6.445,6,445,"Athlone, Mullingar, Moyvalley, I could make a walking tour to see Milly by the c",,1,556,1330,1,18,28,1,71,179,53.42861,-6.91889
209,Ennis,Ireland,Europe,Martin Cunningham,6.53,6,530,Had the queen's hotel in Ennis. You heard him say he was going to Clare. Anniver,,8,556,1330,1,18,28,1,2,6,52.8463,-8.9807
210,Artane,Ireland,Europe,Tom Kernan,6.537,6,537,Martin is trying to get the youngster into Artane.,,3,556,1330,1,18,28,1,2,3,53.38274,-6.195
211,Cork,Ireland,Europe,Simon Dedalus,6.558,6,558,Never better. How are all in Cork's own town?,,11,556,1330,2,18,28,1,3,5,51.9667,-8.5833
217,Jerusalem,Turkish Empire,Asia,Leopold Bloom,6.819,6,819,Lay me in my native earth. Bit of clay from the holy land.,"That is, Jerusalem.",8,109,186,1,2,7,3,31,48,31.78333,35.21667
227,"Tinnahinch House, Laois",Ireland,Europe,Leopold Bloom,7.0092,7,92,"Demesne situate in the townland of Rosenallis, barony of Tinnahinch.",,1,556,1330,1,22,59,1,71,179,53.15125,-7.5255
228,Ballina,Ireland,Europe,Leopold Bloom,7.0093,7,93,To all whom it may concern schedule pursuant to statue showing return of a numbe,,1,556,1330,1,22,59,1,71,179,54.1167,-9.1667
234,Israel,Turkish Empire,Asia,Leopold Bloom,7.0209,7,209,Shema Israel Adonai Elohenu.,,12,109,186,2,7,8,3,31,48,31,35
235,Marathon,Greece,Europe,Simon Dedalus,7.0254,7,254,"And Xenophon looked upon Marathon, Mr Dedalus said, looking again on the firepla",,2,45,1330,2,6,59,2,2,5,38.15,23.95
243,Ohio,USA,North America,Myles Crawford,7.0363,7,363,In Ohio! the editor shouted,,3,39,51,3,7,8,3,5,5,40.5,-82.5
249,Brixton,England,Europe,J.J. O Molloy,7.0478,7,478,"Imperium romanum, J.J.O'Molloy said gently. It sounds nobler than British or Bri",,1,210,1330,1,2,59,1,2,12,51.463,-0.106
266,Cape of Trafalgar,Spain,Europe,Professor MacHugh,7.0566,7,566,We are the liege subjects of the catholic chivalry of Europe that foundered at T,,1,76,1330,1,2,59,1,1,12,36.18333,-6.03333
269,Aegospotami,Greece,Asia,Professor MacHugh,7.0568,7,568,We are the liege subjects of the catholic chivalry of Europe that foundered at T,,1,45,186,1,6,8,1,3,3,40.36407,26.63083
272,"Bastile, Paris",France,Europe,J.J. O Molloy,7.06,7,600,"Like fellows who had blown up the Bastile, J.J. O'Molloy said in quiet mockery.",,1,92,1330,1,3,59,1,1,12,48.85314,2.36911
274,Borris-in-Ossory,Ireland,Europe,Myles Crawford,7.062,7,620,Great nationalist meeting in Borris-in-Ossory. All balls!,,1,556,1330,1,22,59,1,9,17,52.939,-7.631
276,New York,USA,North America,Myles Crawford,7.0635,7,635,"Look at here, he said, turning. The New York World cabled for a special.",,6,39,51,2,7,8,2,5,5,40.67,-73.94
279,Elba,Italy,Europe,Lenehan,7.0683,7,683,"Madam, I'm Adam. And Able was I ere I saw Elba.",,1,76,1330,1,11,59,1,1,6,42.76183,10.24083
291,Nile,Egypt,Africa,J.J. O Molloy,7.0851,7,851,"Nile/ Child, man, effigy.",,6,37,83,2,7,7,2,7,8,-2.28222,29.33139
295,Sinai,Egypt,Africa,J.J. O Molloy,7.0867,7,867,He would never have spoken with the Eternal amid lightnings on Sinai's mountaint,,1,37,83,1,7,7,1,7,8,28.53972,33.97333
296,The Promised Land,Turkish Empire,Asia,J.J. O Molloy,7.0872,7,872,And he died without having entered the land of promise.,,2,109,186,2,7,8,1,4,5,32.5,35.25
303,Sparta,Italy,Europe,Headline,7.1033,7,1033,SOPHIST WALLOPS HAUGHTY HELEN SQUARE ON PROBOSCIS. SPARTANS GNASH MOLARS. ITHACA,,2,76,1330,1,11,59,1,4,4,37.08194,22.42361
304,Ithaca,Italy,Europe,Headline,7.1034,7,1034,SOPHIST WALLOPS HAUGHTY HELEN SQUARE ON PROBOSCIS. SPARTANS GNASH MOLARS. ITHACA,,1,76,1330,1,11,59,1,4,4,38.36667,20.71667
305,Palestine,Turkish Empire,Asia,Stephen Dedalus,7.1057,7,1057,"No, Stephen said, I call it a Pisgah Sight of Palestine or the Parable of The Pl",,1,109,186,1,7,8,1,10,14,31.6253,35.1453
308,Birmingham,England,Europe,Leopold Bloom,8.0018,8,18,Where was that ad some Birmingham firm the luminous crucifix. Our savior.,,1,210,1330,1,10,47,1,23,179,52.48306,-1.89361
309,Malaga,Spain,Europe,Leopold Bloom,8.0024,8,24,The Malaga raisins. Thinking of Spain.,,1,76,1330,1,4,47,1,23,179,36.71944,-4.42
313,Banbury,England,Europe,Narrator 8,8.0074,8,74,He halted again and bought from the old applewoman two Banbury cakes for a penny,Banbury is a town in Oxfordshire known for its cakes.,4,210,1330,1,10,47,1,1,4,52.061,-1.336
315,Glencree,Ireland,Europe,Leopold Bloom,8.016,8,160,Val Dillon was lord mayor. The Glencree dinner.,,4,556,1330,1,16,47,1,71,179,53.18333,-6.25
316,Sugarloaf Mountain,Ireland,Europe,Leopold Bloom,8.0166,8,166,&choir picnic at the Sugarloaf. As if that. Old Goodwin's tall hat done up&,"There are 5 geographical features named Sugarloaf in Ireland, but the Ulysses an",3,556,1330,1,16,47,1,71,179,53.155,-6.15
324,Rathoath,Ireland,Europe,Leopold Bloom,8.0341,8,341,Lady Mountcashel was quite recovered after her confinement and rode out with the,,1,556,1330,1,16,47,1,71,179,53.3,-6.14
328,Buckingham Palace,England,Europe,Leopold Bloom,8.0461,8,461,Putting up in the Buckingham Palace hotel under their very noses. Garibaldi.,,1,210,1330,1,10,47,1,23,179,51.501,-0.142
329,Pyramids,Egypt,Africa,Leopold Bloom,8.0489,8,489,"Piled up in cities, worn away age after age. Pyramids in sand.",,1,37,83,1,1,1,1,5,14,29.97611,31.13111
330,Babylon,Turkish Empire,Asia,Leopold Bloom,8.049,8,490,Built on bread and onions. Slaves Chinese wall. Babylon.,,4,109,186,1,7,11,1,31,48,32.53639,44.42083
332,Chiltern,England,Europe,Leopold Bloom,8.0515,8,515,Apply for the Chiltern Hundreds and retire into public life.,,1,210,1330,1,10,47,1,23,179,51.6606,-0.6409
333,Meath,Ireland,Europe,Leopold Bloom,8.0515,8,515,Bolt upright like surgeon M'Ardle. Still David Sheehy beat him for south Meath.,,3,556,1330,1,16,47,1,71,179,53.66667,-6.66667
338,Greenwich,England,Europe,Leopold Bloom,8.0571,8,571,"Now that I come to think of it, that ball falls at Greenwich time.",,2,210,1330,1,10,47,1,23,179,51.48,0
344,The Boyne,Ireland,Europe,Leopold Bloom,8.0665,8,665,Don't! O! A bone! That last pagan king of Ireland Cormac in the schoolpoem choke,,1,556,1330,1,16,47,1,71,179,53.71667,-6.25
348,Epsom,England,Europe,Nosey Flynn,8.0831,8,831,"Zinfandel's the favourite, lord Howard de Walden's, won at Epsom.",,1,210,1330,1,10,47,1,1,3,51.336,-0.267
351,Red Bank,Ireland,Europe,Leopold Bloom,8.0865,8,865,Fizz and Red bank oysters. Effect on the sexual. Aphrodis.,,2,556,1330,2,16,47,2,71,179,52.83333,-9
356,Killiney,Ireland,Europe,Leopold Bloom,8.089,8,890,"A miss Dubedat lived in Killiney, I remember. Du de la French.",,1,556,1330,1,16,47,1,71,179,53.2651,-6.1137
359,Doneraile,Ireland,Europe,Nosey Flynn,8.0974,8,974,That was one of the Saint Legers of Doneraile.,,1,556,1330,1,16,47,1,2,3,52.2159,-8.58552
360,Brighton,England,Europe,Leopold Bloom,8.1064,8,1064,"Tour the south then. What about English watering places? Brighton, Margate.",,1,210,1330,1,10,47,1,23,179,50.84294,-0.13131
362,Margate,England,Europe,Leopold Bloom,8.1065,8,1065,"Tour the south then. What about English watering places? Brighton, Margate.",,3,210,1330,1,10,47,1,23,179,51.385,1.3838
372,Tinahely,Ireland,Europe,Stephen Dedalus,9.0038,9,38,"And one more to hail him: ave, rabbi. The Tinahely twelve.",,1,556,1330,1,20,96,1,42,143,52.8,-6.46667
375,Essex,England,Europe,George William Russell,9.0047,9,47,"I mean, whether Hamlet is Shakespeare or James 1 or Essex.",,1,210,1330,1,30,96,1,1,3,51.75,0.58333
378,Connacht,Ireland,Europe,Richard Best,9.0094,9,94,"I was showing him Jubainville's book. He's quite enthusiastic, don't you know, a",,4,556,1330,2,20,96,2,3,7,53.78,-9.05
390,Stratford,England,Europe,Stephen Dedalus,9.0149,9,149,Elizabethan London lay as far from Stratford as corrupt Paris lies from virgin D,,7,210,1330,7,30,96,4,34,143,51.5423,-0.00256
392,Avon,England,Europe,Stephen Dedalus,9.0161,9,161,The swan of Avon has other thoughts.,,1,210,1330,1,30,96,1,34,143,51.5,-2.4
397,Warwickshire,England,Europe,Stephen Dedalus,9.0253,9,253,"Do you think the writer of Antony and Cleopatra, a passionate pilgrim, had his e",,2,210,1330,2,30,96,2,34,143,52.33333,-1.58333
404,Hawthornden,Scotland,Europe,Stephen Dedalus,9.0386,9,386,Drummond of Hawthornden helped you at that stile.,,1,27,1330,1,2,96,1,2,143,55.86119,-3.1407
405,Tyre,Lebanon,Asia,Stephen Dedalus,9.0404,9,404,"What softens the heart of a man, shipwrecked in storms dire, Tried, like another",,1,2,186,1,1,7,1,1,14,33.27083,35.19611
407,Pembroke,England,Europe,Thomas Lyster,9.0443,9,443,"The favoured rival is William Herbert, earl of Pembroke.",,1,210,1330,1,30,96,1,1,6,51.67604,-4.9158
410,rue Saint-Andre-des-Arts,France,Europe,Stephen Dedalus,9.0576,9,576,Harsh gargoyle face that warred against me over our mess of hash of lights in ru,,1,92,1330,1,16,96,1,29,143,48.8567,2.3508
416,Enniscorthy,Ireland,Europe,Thomas Lyster,9.0599,9,599,"All the leading provincial... Northern Whig, Cork Examiner, Enniscorthy Guardian",,2,556,1330,1,20,96,1,5,6,52.50206,-6.56588
419,Galilee,Turkish Empire,Asia,Buck Mulligan,9.0615,9,615,"O, I fear me, he is Greeker than the Greeks. His pale Galilean eyes were upon he",,1,109,186,1,5,7,1,3,5,32.874,35.415
422,Argos,Greece,Europe,Stephen Dedalus,9.0622,9,622,"...Argive Helen, the wooden mare of Troy in whom a score of heroes slept, and ha",,1,45,1330,1,6,96,1,4,143,37.61667,22.71667
425,Sheba,Turkish Empire,Asia,Stephen Dedalus,9.0631,9,631,The gombeenwoman Eliza Tudor had underlinen enough to vie with her of Sheba.,,2,109,186,1,5,7,1,10,14,15.41667,45.35
432,Ireland yard,England,Europe,Stephen Dedalus,9.0711,9,711,...with a coat of arms and landed estate at Stratford and a house in Ireland yar,,1,210,1330,1,30,96,1,34,143,51.50722,-0.1275
438,Windsor Castle,England,Europe,Stephen Dedalus,9.0759,9,759,...the gross virgin who inspired the Merry Wives of Windsor let some meinherr fr,,1,210,1330,1,30,96,1,34,143,51.48333,-0.60417
445,River Jordan,Turkish Empire,Asia,Stephen Dedalus,9.0807,9,807,She read or had read to her his chapbooks preferring them to the Merry Wives and,,1,109,186,1,5,7,1,10,14,33.18667,35.61917
446,Ulster,Ireland,Europe,Stephen Dedalus,9.0818,9,818,"Shy supping with the godless, he sneaks the cup. A sire in Ultonian Antrim bade",An Ultonian is an inhabitant of Ulster,3,556,1330,1,20,96,1,42,143,54.4,-7
448,Wittenberg,Germany,Europe,Stephen Dedalus,9.0832,9,832,...with fifty of experience is the beardless undergraduate from Wittenberg then,,1,33,1330,1,6,96,1,5,143,51.86667,12.65
451,rue Monsieur-le-Prince,France,Europe,Stephen Dedalus,9.0858,9,858,In rue Monsieur-le-Prince I thought it.,,1,92,1330,1,16,96,1,29,143,48.8567,2.3508
453,Forest of Arden,England,Europe,Stephen Dedalus,9.088,9,880,"As for his family, Stephen said, his mother's name lives in the forest of Arden.",,1,210,1330,1,30,96,1,34,143,52.46,-1.657
456,Southwark,England,Europe,Stephen Dedalus,9.0914,9,914,"Nay, that last play was written or being written while his brother Edmund lay dy",,2,210,1330,1,30,96,1,34,143,51.4988,-0.0901
458,Shottery,England,Europe,Stephen Dedalus,9.0934,9,934,"...as he walked by the slumberous summer fields at midnight, returning from Shot",,1,210,1330,1,30,96,1,34,143,52.18333,-1.71667
460,Dieppe,France,Europe,Stephen Dedalus,9.0953,9,953,"Whereto? Newhaven-Dieppe, steerage passenger. Paris and back.",,1,92,1330,1,16,96,1,29,143,49.92,1.08
465,Verona,Italy,Europe,Stephen Dedalus,9.1001,9,1001,"The note of banishment, banishment from the heart, banishment from home, sounds",,1,76,1330,1,7,96,1,11,143,45.43333,10.98333
466,Maynooth,Ireland,Europe,Stephen Dedalus,9.1008,9,1008,The words are those of my lords bishops of Maynooth.,,3,556,1330,1,20,96,1,42,143,53.38157,-6.59098
471,Berlin,Germany,Europe,John Eglinton,9.1074,9,1074,"Herr Bleibtreu, the man Piper met in Berlin, who is working up that Rutland theo",,1,33,1330,1,6,96,1,2,9,52.51667,13.38333
483,Buxton,England,Europe,Narrator 10,10.0019,10,19,"He would go to Buxton probably for the waters. And her boys, were they getting o",,1,210,1330,1,8,34,1,2,12,53.259,-1.911
501,Ringabella,Ireland,Europe,Reverend Hugh C. Love,10.04,10,400,"_x0014_Ringabella and Crosshaven, a voice replied groping for foothold.",,4,556,1330,1,16,34,1,2,2,51.77028,-8.305
502,Crosshaven,Ireland,Europe,Reverend Hugh C. Love,10.04,10,400,"_x0014_Ringabella and Crosshaven, a voice replied groping for foothold.",,2,556,1330,1,16,34,1,2,2,51.80194,-8.29528
504,Wexford,Ireland,Europe,Narrator 10,10.0435,10,435,With J.J. O'Molloy he came forth slowly into Mary's abbey where draymen were loa,,5,556,1330,1,16,34,1,6,12,52.3342,-6.4575
517,Yorkshire,England,Europe,Narrator 10,10.1242,10,1242,"By the provost's wall came jauntily Blazes Boylan, stepping in tanned shoes and",,10,210,1330,3,8,34,1,2,12,54,-2
523,Castile,Spain,Europe,Overture,11.0008,11,8,"A jumping rose on satiny breasts of satin, rose of Castille.",,11,76,1330,7,11,34,3,3,4,41.38333,-4.45
526,Big Ben,England,Europe,Overture,11.0053,11,53,Big Benaben. Big Benben.,,3,210,1330,3,3,34,1,1,4,51.50076,-0.12466
529,Rostrevor,Ireland,Europe,Narrator 11,11.0197,11,197,He hoped she had nice weather in Rostrevor.,,1,556,1330,1,13,34,1,5,12,54.101,-6.201
