,LOCALITY,COUNTRY,CONTINENT,CHARACTER,EPLINE,EPISODE,LINE,CONTEXT,COMMENT,Locality_Count,Country_Count,Continent_Count,EpLocalCount,EpCountryCount,EpContCount,CharLocCount,CharCountryCount,CharContCount,LATITUDE,LONGITUDE
17,,Ireland,Europe,Buck Mulligan,1.29,1,290,I told him your symbol of Irish art,,0,556,1330,0,14,43,0,11,39,53.41667,-8
18,London,England,Europe,Narrator 1,1.299,1,299,...singing out of tune with a Cockney accent,,33,210,1330,1,12,43,1,1,2,51.50722,-0.1275
19,Clongowes,Ireland,Europe,Stephen Dedalus,1.311,1,311,So I carried the boat of incense then at Clongowes,,6,556,1330,1,14,43,3,42,143,53.31092,-6.68344
20,Paris,France,Europe,Buck Mulligan,1.342,1,342,"O, damn you and your Paris fads!",,34,92,1330,1,3,43,1,4,39,48.8567,2.3508
21,Dundrum,Ireland,Europe,Buck Mulligan,1.366,1,366,...ten page about the folk and the fishgods of Dundrum,"There are two Dundrums in Ireland, a village just south of Dublin and another to",3,556,1330,1,14,43,1,11,39,53.28972,-6.24417
22,,Ireland,Europe,Buck Mulligan,1.393,1,393,"The islanders, Mulligan said to Haines casually...",,0,556,1330,0,14,43,0,11,39,53.41667,-8
23,,Ireland,Europe,Buck Mulligan,1.412,1,412,...we wouldn't have the country full of rotten teeth and rotten guts...,,0,556,1330,0,14,43,0,11,39,53.41667,-8
24,,England,Europe,Haines,1.43,1,430,"I am an Englishman, Haines answered",,0,210,1330,0,12,43,0,2,12,51.5,-0.11667
25,,England,Europe,Buck Mulligan,1.431,1,431,"He's English, Buck Mulligan said, and he things we outh to speak Irish&",,0,210,1330,0,12,43,0,13,39,51.5,-0.11667
26,,Ireland,Europe,Buck Mulligan,1.432,1,432,... he thinks we ought to speak Irish in Ireland,,0,556,1330,0,14,43,0,11,39,53.41667,-8
27,,Ireland,Europe,Buck Mulligan,1.467,1,467,Ireland expects that every man this day...,,0,556,1330,0,14,43,0,11,39,53.41667,-8
28,,Ireland,Europe,Stephen Dedalus,1.476,1,476,All Ireland is washed by the gulfstream...,,0,556,1330,0,14,43,0,42,143,53.41667,-8
29,,Ireland,Europe,Haines,1.484,1,484,...being the symbol of Irish art is deuced good,,0,556,1330,0,14,43,0,4,12,53.41667,-8
30,"Latin Quarter, Paris",France,Europe,Buck Mulligan,1.519,1,519,And there's your Latin quarter hat,,2,92,1330,1,3,43,1,4,39,48.85142,2.34317
31,,France,Europe,Buck Mulligan,1.543,1,543,...when the French were on the sea,,0,92,1330,0,3,43,0,4,39,47,2
32,Elsinore,Denmark,Europe,Haines,1.567,1,567,...these cliffs here somehow remind me of Elsinore,,3,6,1330,1,1,43,1,1,12,56.03611,12.60833
33,Mount Calvary,Turkish Empire,Asia,Buck Mulligan,1.587,1,587,So here's to disciples and Calvary,,2,109,186,1,2,2,1,3,5,31.77861,35.22944
34,Mount of Olives,Turkish Empire,Asia,Buck Mulligan,1.599,1,599,"And Olivet's breezy -- Goodbye, now goodbye!",Olivet is another name for the Mount of Olives,1,109,186,1,2,2,1,3,5,31.78333,35.25083
35,,Italy,Europe,Stephen Dedalus,1.638,1,638,"I am a servant of two masters, Stephen said, an English and an Italian",,0,76,1330,0,4,43,0,11,143,43,12
36,,England,Europe,Stephen Dedalus,1.638,1,638,"I am a servant of two masters, Stephen said, an English and an Italian",,0,210,1330,0,12,43,0,34,143,51.5,-0.11667
37,,Italy,Europe,Haines,1.639,1,639,Italian? Haines said,,0,76,1330,0,4,43,0,2,12,43,12
38,,Italy,Europe,Haines,1.642,1,642,Italian? Haines said again,,0,76,1330,0,4,43,0,2,12,43,12
39,,Britain,Europe,Stephen Dedalus,1.643,1,643,"The imperial British state, Stephen answered...",,0,85,1330,0,2,43,0,2,143,53.826,-2.422
40,Rome,Italy,Europe,Stephen Dedalus,1.644,1,644,... and the holy Roman catholic and apostolic church,,33,76,1330,1,4,43,5,11,143,41.9,12.5
41,,Ireland,Europe,Haines,1.647,1,647,An Irishman must think like that...,,0,556,1330,0,14,43,0,4,12,53.41667,-8
42,,England,Europe,Haines,1.648,1,648,We feel in England that we have treated you rather unfairly,,0,210,1330,0,12,43,0,2,12,51.5,-0.11667
43,,,Africa,Stephen Dedalus,1.659,1,659,...and the subtle African heresiarch Sabellius...,,0,0,83,0,0,2,0,0,13,7.1881,21.0936
44,,Britain,Europe,Haines,1.666,1,666,"Of course I'm a Britisher, Haines voice said...",,0,85,1330,0,2,43,0,1,12,53.826,-2.422
45,,Germany,Europe,Haines,1.667,1,667,I don't want to see my country fall into the hands of German jew either,,0,33,1330,0,4,43,0,1,12,51.5167,9.9167
46,,Ireland,Europe,Narrator 1,1.731,1,731,...turning as Stephen walked up the path and smiling at wild Irish,,0,556,1330,0,14,43,0,1,2,53.41667,-8
47,Saxony,Germany,Europe,Stephen Dedalus,1.732,1,732,"Horn of a bull, hoof of a horse, smile of a Saxon",,11,33,1330,3,4,43,2,5,143,51.02694,13.35889
48,Tarentum,Greece,Europe,Cochrane,2.002,2,2,"Tarentum, sir","Tarentum's precise limits are not known, but it surrounded the alter of Dis and",1,45,1330,1,2,29,1,1,1,43.90447,12.42085
49,Asculum,Italy,Europe,Stephen Dedalus,2.012,2,12,"Asculum, Stephen said, glancing at the name...",,1,76,1330,1,1,29,1,11,143,41.21556,15.55778
50,"Saint Genevieve Library, Paris",France,Europe,Narrator 2,2.069,2,69,...into the studious silence of the library of Saint Genevieve where he had read,,1,92,1330,1,5,29,1,4,7,48.84708,2.34583
51,Paris,France,Europe,Narrator 2,2.07,2,70,"...sheltered from the sin of Paris, night by night...",,34,92,1330,3,5,29,3,4,7,48.8567,2.3508
52,,Thailand,Asia,Narrator 2,2.071,2,71,By his elbow a delicate Siamese conned a handbook...,,0,4,186,0,1,3,0,1,2,15.35,101.0333
53,Moorish World,,Africa,Stephen Dedalus,2.157,2,157,...imps of fancy of the Moors,,10,0,83,1,0,1,2,0,13,27.453,-1.374
54,,England,Europe,Garrett Deasy,2.243,2,243,"A poet, yes, but an Englishman too",,0,210,1330,0,10,29,0,7,18,51.5,-0.11667
55,,England,Europe,Garrett Deasy,2.243,2,243,Do you know what is the pride of the English?,,0,210,1330,0,10,29,0,7,18,51.5,-0.11667
56,,England,Europe,Garrett Deasy,2.245,2,245,...what is the proudest word you will ever hear from an Englishman's mouth?,,0,210,1330,0,10,29,0,7,18,51.5,-0.11667
57,,England,Europe,Garrett Deasy,2.249,2,249,That's not English.,,0,210,1330,0,10,29,0,7,18,51.5,-0.11667
58,,France,Europe,Garrett Deasy,2.25,2,250,A French Celt said that.,,0,92,1330,0,5,29,0,1,18,47,2
59,,Ireland,Europe,Garrett Deasy,2.25,2,250,A French Celt said that.,,0,556,1330,0,8,29,0,7,18,53.41667,-8
60,,Wales,Europe,Narrator 2,2.267,2,267,"Albert Edward, prince of Wales",,0,15,1330,0,1,29,0,1,7,52.3496,-3.6378
61,,Ireland,Europe,Garrett Deasy,2.28,2,280,"We are all Irish, all kings' sons",,0,556,1330,0,8,29,0,7,18,53.41667,-8
62,Ards Penninsula,Ireland,Europe,Garrett Deasy,2.283,2,283,...and put on his topboots to ride to Dublin from the Ards of Down,,1,556,1330,1,8,29,1,7,18,54.5,-5.5
63,Paris,France,Europe,Narrator 2,2.302,2,302,"...Westminster's Shotover, the duke of Beaufort's Ceylon, prix de Paris,&",,34,92,1330,3,5,29,3,4,7,48.8567,2.3508
64,Westminster,England,Europe,Narrator 2,2.302,2,302,...the duke of Westminster's Shotover,,2,210,1330,1,10,29,1,2,7,51.4995,-0.1333
65,,Ceylon,Asia,Narrator 2,2.302,2,302,...the duke of Beaufort's Ceylon,,0,6,186,0,1,3,0,1,2,6.9,79.9
66,,England,Europe,Narrator 2,2.302,2,302,...the duke of Beaufort's Ceylon,"Title in the English peerage, but named after a castle in Champagne, France.",0,210,1330,0,10,29,0,2,7,51.5,-0.11667
67,Galway harbour,Ireland,Europe,Garrett Deasy,2.326,2,326,Liverpool ring which jockeyed the Galway harbour scheme,,1,556,1330,1,8,29,1,7,18,53.27194,-9.04889
68,Liverpool,England,Europe,Garrett Deasy,2.326,2,326,Liverpool ring which jockeyed the Galway harbour scheme,,7,210,1330,1,10,29,1,7,18,53.4,-3
69,Murzsteg,Austria,Europe,Garrett Deasy,2.334,2,334,"Emperor's horses at Murzsteg, lower Austria",,1,15,1330,1,2,29,1,2,18,47.675,15.49222
70,,Ireland,Europe,Garrett Deasy,2.339,2,339,...they will put an embargo on Irish cattle,,0,556,1330,0,8,29,0,7,18,53.41667,-8
71,,Austria,Europe,Garrett Deasy,2.341,2,341,...and cured in Austria by cattledoctors there,,0,15,1330,0,2,29,0,2,18,47.6,13.7833
72,,England,Europe,Garrett Deasy,2.346,2,346,England is in the hands of the jew,,0,210,1330,0,10,29,0,7,18,51.5,-0.11667
73,,England,Europe,Garrett Deasy,2.35,2,350,Old England is dying,,0,210,1330,0,10,29,0,7,18,51.5,-0.11667
74,,England,Europe,Stephen Dedalus,2.356,2,356,Shall weave old England's windingsheet,,0,210,1330,0,10,29,0,34,143,51.5,-0.11667
75,Paris,France,Europe,Narrator 2,2.364,2,364,On the steps of the Paris stock exchange the goldskinned men...,,34,92,1330,3,5,29,3,4,7,48.8567,2.3508
76,Troy,Turkish Empire,Asia,Garrett Deasy,2.392,2,392,...ten years the Greeks made war on Troy,,4,109,186,1,1,3,1,1,1,39.9575,26.23889
77,,Greece,Europe,Garrett Deasy,2.392,2,392,...ten years the Greeks made war on Troy,,0,45,1330,0,2,29,0,1,18,39,22
78,Breffni,Ireland,Europe,Garrett Deasy,2.394,2,394,"...O'Rourke, prince of Breffni",,2,556,1330,1,8,29,1,7,18,54,-7.75
79,,Ireland,Europe,Stephen Dedalus,2.412,2,412,Telegraph. Irish Homestead.,,0,556,1330,0,8,29,0,42,143,53.41667,-8
80,,Ireland,Europe,Garrett Deasy,2.437,2,437,"Ireland, they say, has the honour of being...",,0,556,1330,0,8,29,0,7,18,53.41667,-8
81,,Greece,Europe,Stephen Dedalus,3.052,3,52,In a Greek watercloset he breathed...,,0,45,1330,0,1,45,0,4,143,39,22
82,Clongowes,Ireland,Europe,Stephen Dedalus,3.105,3,105,You told the Clongowes gentry you had an uncle a judge...,,6,556,1330,2,16,45,3,42,143,53.31092,-6.68344
83,,England,Europe,Stephen Dedalus,3.124,3,124,A misty English morning the imp hypostasis...,,0,210,1330,0,5,45,0,34,143,51.5,-0.11667
84,,Ireland,Europe,Stephen Dedalus,3.128,3,128,"Cousin Stephen, you will never be a saint. Isle of saints",,0,556,1330,0,16,45,0,42,143,53.41667,-8
85,Library of Alexandria,Egypt,Africa,Stephen Dedalus,3.143,3,143,"...to be sent if you died to all the great libraries of the world, including Ale",,1,37,83,1,3,3,1,9,13,31.2089,29.9092
86,"the bar MacMahon, Paris",France,Europe,Stephen Dedalus,3.163,3,163,"Patrice, hom on furlough, lapped warm milk with me in the bar MacMahon","In Paris, named after Patrice de Mac-Mahon",1,92,1330,1,16,45,1,29,143,48.8567,2.3508
87,Paris,France,Europe,Stephen Dedalus,3.164,3,164,"Son of the wild goose, Kevin Egan of Paris",,34,92,1330,8,16,45,16,29,143,48.8567,2.3508
88,"Latin Quarter, Paris",France,Europe,Stephen Dedalus,3.174,3,174,"My Latin quarter hat. God, we simply must dress the character.",,2,92,1330,1,16,45,1,29,143,48.85142,2.34317
89,,Egypt,Africa,Stephen Dedalus,3.178,3,178,"Eating your groatsworth of mou en civet, fleshpots of Egypt",,0,37,83,0,3,3,0,9,13,26,30
90,Paris,France,Europe,Stephen Dedalus,3.179,3,179,Just say in the most natural tone: when I was in Paris...,,34,92,1330,8,16,45,16,29,143,48.8567,2.3508
91,,,Europe,Stephen Dedalus,3.192,3,192,"You were going to do wonders, what? Missionary to Europe after fiery Columbanus",,0,0,1330,0,0,45,0,0,143,46,7
92,Newhaven,England,Europe,Stephen Dedalus,3.196,3,196,"Pretending to speak broken English as you dragged your valise, porter threepence",,2,210,1330,1,5,45,2,34,143,50.8,0.06
93,,France,Europe,Stephen Dedalus,3.198,3,198,...five tattered numbers of Pantalon Blanc et Culotte Rogue; a blue French teleg,,0,92,1330,0,16,45,0,29,143,47,2
94,Paris,France,Europe,Stephen Dedalus,3.209,3,209,"Paris rawly walking, crude sunlight on her lemon streets",,34,92,1330,8,16,45,16,29,143,48.8567,2.3508
95,"Rodot s, Paris",France,Europe,Stephen Dedalus,3.212,3,212,In Rodot's Yvonne and Madeleine newmake their tumbled beauties...,A patisserie at 9 Boulevard Saint-Michel in Paris,1,92,1330,1,16,45,1,29,143,48.8567,2.3508
96,Paris,France,Europe,Stephen Dedalus,3.213,3,213,"Faces of Paris men go by, their wellpleased pleasers, curled conquistadores",,34,92,1330,8,16,45,16,29,143,48.8567,2.3508
97,,Netherlands,Europe,Stephen Dedalus,3.22,3,220,"Il est irlandais. Hollandais? Non fromage. Deux irlandais, nous, Irlande, vous s",,0,10,1330,0,2,45,0,2,143,52.3167,5.55
98,,Ireland,Europe,Stephen Dedalus,3.22,3,220,"Il est irlandais. Hollandais? Non fromage. Deux irlandais, nous, Irlande, vous s","French for ""He is Irish. Dutch? Not cheese. Two Irishmen, we, Ireland, do you un",0,556,1330,0,16,45,0,42,143,53.41667,-8
99,,Ireland,Europe,Stephen Dedalus,3.22,3,220,"Il est irlandais. Hollandais? Non fromage. Deux irlandais, nous, Irlande, vous s","French for ""He is Irish. Dutch? Not cheese. Two Irishmen, we, Ireland, do you un",0,556,1330,0,16,45,0,42,143,53.41667,-8
100,,Ireland,Europe,Stephen Dedalus,3.22,3,220,"Il est irlandais. Hollandais? Non fromage. Deux irlandais, nous, Irlande, vous s","French for ""He is Irish. Dutch? Not cheese. Two Irishmen, we, Ireland, do you un",0,556,1330,0,16,45,0,42,143,53.41667,-8
101,,Ireland,Europe,Stephen Dedalus,3.22,3,220,"Il est irlandais. Hollandais? Non fromage. Deux irlandais, nous, Irlande, vous s","French for ""He is Irish. Dutch? Not cheese. Two Irishmen, we, Ireland, do you un",0,556,1330,0,16,45,0,42,143,53.41667,-8
102,Barcelona,Spain,Europe,Stephen Dedalus,3.223,3,223,"There was a fellow I knew once in Barcelona, queer fellow...",,1,76,1330,1,2,45,1,3,143,41.38333,2.18333
103,,Ireland,Europe,Stephen Dedalus,3.226,3,226,"Of Ireland, the Dalcassians, of hopes, conspiracies, of Arthur Griffith now...",,0,556,1330,0,16,45,0,42,143,53.41667,-8
104,,Ireland,Europe,Stephen Dedalus,3.227,3,227,"Of Ireland, the Dalcassians, of hopes, conspiracies, of Arthur Griffith now...",The Dalcassians are a tribe that made up the household troops for the medieval I,0,556,1330,0,16,45,0,42,143,53.41667,-8
105,,Spain,Europe,Stephen Dedalus,3.23,3,230,"His fustian shirt, sanguineflowered, trembles its Spanish tassels at his secrets",,0,76,1330,0,2,45,0,3,143,40.43333,-3.7
106,Malahide,Ireland,Europe,Stephen Dedalus,3.243,3,243,"Got up as a young bride, man, veil, orangeblossoms, drove out the road to Malahi",,5,556,1330,1,16,45,1,42,143,53.4508,-6.1544
107,Clerkenwell,England,Europe,Stephen Dedalus,3.248,3,248,"...with colonel Richard Burke, tanist of his sept, under the walls of Clerkenwel",,1,210,1330,1,5,45,1,34,143,51.52604,-0.10348
108,Paris,France,Europe,Stephen Dedalus,3.249,3,249,"In gay Paree he hides, Egan of Paris, unsought by any save me",,34,92,1330,8,16,45,16,29,143,48.8567,2.3508
109,Paris,France,Europe,Stephen Dedalus,3.25,3,250,"In gay Paree he hides, Egan of Paris, unsought by any save me",,34,92,1330,8,16,45,16,29,143,48.8567,2.3508
110,"Montmartre, Paris",France,Europe,Stephen Dedalus,3.251,3,251,"...the dingy printingcase, his three taverns, the Montmartre lair he sleeps shor",,1,92,1330,1,16,45,1,29,143,48.88694,2.34111
111,"rue de la Goutte-d Or, Paris",France,Europe,Stephen Dedalus,3.252,3,252,"the Montmartre lair he sleeps short night in, rue de la Goutte-d'Or...","A street in the Montmartre, Paris",1,92,1330,1,16,45,1,29,143,48.8567,2.3508
112,"rue Git-le-Coeur, Paris",France,Europe,Stephen Dedalus,3.254,3,254,"She is quite nicey comfy without her outcast man, madame in rue Git le Coeur...",A street near the Seine on the Left Bank,1,92,1330,1,16,45,1,29,143,48.8567,2.3508
113,Kilkenny,Ireland,Europe,Stephen Dedalus,3.257,3,257,I taught him to sing The boys of Kilkenny are stout roaring blades.,,7,556,1330,3,16,45,3,42,143,52.6477,-7.2561
114,,France,Europe,Stephen Dedalus,3.257,3,257,"Mon fils, soldier of France.",,0,92,1330,0,16,45,0,29,143,47,2
115,Strongbow s Castle,Ireland,Europe,Stephen Dedalus,3.259,3,259,"Old Kilkenny: saint Canice, Strongbow's castle on the Nore.","Richard de Clare's castle on the Nore, built in 1172",1,556,1330,1,16,45,1,42,143,52.65028,-7.24917
116,Kilkenny,Ireland,Europe,Stephen Dedalus,3.259,3,259,"Old Kilkenny: saint Canice, Strongbow's castle on the Nore.",,7,556,1330,3,16,45,3,42,143,52.6477,-7.2561
117,Kilkenny,Ireland,Europe,Stephen Dedalus,3.261,3,261,"O, O the boysof/ Kilkenny ...",,7,556,1330,3,16,45,3,42,143,52.6477,-7.2561
118,Zion,Turkish Empire,Asia,Stephen Dedalus,3.264,3,264,"Remembering thee, O Sion",,6,109,186,1,1,1,1,10,14,31.76667,35.23333
119,Elsinore,Denmark,Europe,Stephen Dedalus,3.281,3,281,"...I pace the path above the rocks, in sable silvered, hearing Elsinore's tempti",,3,6,1330,1,1,45,2,4,143,56.03611,12.60833
120,,Ireland,Europe,Stephen Dedalus,3.293,3,293,Feefawfum. I zmellz de bloodz odz an Iridzman.,,0,556,1330,0,16,45,0,42,143,53.41667,-8
121,,Norway,Europe,Stephen Dedalus,3.3,3,300,"Galleys of the Lochlanns ran here to beach, in quest of prey...",,0,2,1330,0,1,45,0,1,143,61,8
122,,Netherlands,Europe,Stephen Dedalus,3.301,3,301,"Dane vikings, torcs of tomahawks aglitter on their breasts...",,0,10,1330,0,2,45,0,2,143,52.3167,5.55
123,York,England,Europe,Stephen Dedalus,3.314,3,314,"...Thomas Fitzgerald, silken knight, Perkin Warbeck, York's false scion",,3,210,1330,1,5,45,1,34,143,53.95833,-1.08028
124,Clongowes,Ireland,Europe,Stephen Dedalus,3.325,3,325,Water cold soft. When I put my face into it in the basin at Clongowes.,,6,556,1330,2,16,45,3,42,143,53.31092,-6.68344
125,,Egypt,Africa,Stephen Dedalus,3.37,3,370,"Shouldering their bags they trudged, the red Egyptions.",,0,37,83,0,3,3,0,9,13,26,30
126,London,England,Europe,Stephen Dedalus,3.375,3,375,"Behind her lord, his helpmate, bing awast to Romeville.",Go away to London Ulysses Annotated pg 61,33,210,1330,1,5,45,8,34,143,51.50722,-0.1275
127,Cloyne,Ireland,Europe,Stephen Dedalus,3.416,3,416,The good bishop of Cloyne took the veil of the temple out of his shovel hat...,,1,556,1330,1,16,45,1,42,143,51.86306,-8.12083
128,Paris,France,Europe,Stephen Dedalus,3.45,3,450,But you were delighted when Esther Osvalt's shoe went on you: girl I knew in Par,,34,92,1330,8,16,45,16,29,143,48.8567,2.3508
129,Paris,France,Europe,Stephen Dedalus,3.483,3,483,Old father Ocean. Prix de Paris: beware of imitations,,34,92,1330,8,16,45,16,29,143,48.8567,2.3508
130,Gibraltar,Britain,Europe,Leopold Bloom,4.06,4,60,Must get those settled really. Pity. All the way from Gibraltar.,,26,85,1330,2,2,21,8,16,179,36.13333,-5.35
131,Plevna,Bulgaria,Europe,Leopold Bloom,4.063,4,63,"Hard as nails at a bargain, old Tweedy. Yes, sir. At Plevna that was.",,3,4,1330,1,1,21,1,1,179,43.41667,24.61667
132,,Ireland,Europe,Leopold Bloom,4.103,4,103,...a homerule sun rising up in the northwest from the laneway behind the bank of,,0,556,1330,0,9,21,0,71,179,53.41667,-8
133,,Russia,Asia,Leopold Bloom,4.106,4,106,"The Russians, they'd only be an eight o'clock breakfast for the Japanese.",,0,9,186,0,1,14,0,1,48,60,90
134,,Japan,Asia,Leopold Bloom,4.107,4,107,"The Russians, they'd only be an eight o'clock breakfast for the Japanese.",,0,7,186,0,1,14,0,1,48,35,136
135,Leitrim,Ireland,Europe,Leopold Bloom,4.127,4,127,Where do they get the money? Coming up redheaded curates from the county Leitrim,,1,556,1330,1,9,21,1,71,179,54.117,-8
136,Inishark,Ireland,Europe,Leopold Bloom,4.138,4,138,Boys are they? Yes. Irishturk. Irishark. Irishboffin.,,1,556,1330,1,9,21,1,71,179,53.6117,-10.2828
137,Inishboffin,Ireland,Europe,Leopold Bloom,4.138,4,138,Boys are they? Yes. Irishturk. Irishark. Irishboffin.,,1,556,1330,1,9,21,1,71,179,53.61667,-10.2
138,Inishturk,Ireland,Europe,Leopold Bloom,4.138,4,138,Boys are they? Yes. Irishturk. Irishark. Irishboffin.,,1,556,1330,1,9,21,1,71,179,53.7014,-10.1083
139,Sea of Galilee,Turkish Empire,Asia,Leopold Bloom,4.155,4,155,He took a page up from the pile of cut sheets: the model farm at Kinnereth on th,The sea of Galilee is also known as the Sea of Tiberias and the Sea of Kinneret.,3,109,186,2,12,14,2,31,48,32.83333,35.58333
140,Sea of Galilee,Turkish Empire,Asia,Leopold Bloom,4.155,4,155,He took a page up from the pile of cut sheets: the model farm at Kinnereth on th,The sea of Galilee is also known as the Sea of Tiberias and the Sea of Kinneret.,3,109,186,2,12,14,2,31,48,32.83333,35.58333
141,Agendath Netaim,Turkish Empire,Asia,Leopold Bloom,4.191,4,191,"He walked back along Dorset street, reading gravely. Agendath Netaim: planter's","Agdendath is the ""model farm at Kennereth,"" which is the sea of Galilee, and as",16,109,186,2,12,14,3,31,48,32.83333,35.58333
142,,Turkish Empire,Asia,Leopold Bloom,4.192,4,192,To purchase waste sandy tracts from Turkish government and plant with eucalyptus,,0,109,186,0,12,14,0,31,48,39.1667,35.6667
143,Jaffa,Turkish Empire,Asia,Leopold Bloom,4.194,4,194,Orangegroves and immense melonfields north of Jaffa.,,3,109,186,2,12,14,3,31,48,32.05,34.75
144,Bleibtreustrasse,Germany,Europe,Leopold Bloom,4.199,4,199,"Can pay ten down and the balance in yearly instalments. Bleibtreustrasse 34, Ber",,4,33,1330,1,1,21,2,3,179,52.50406,13.31984
145,,Mediterranean,Europe,Leopold Bloom,4.211,4,211,"Coming all that way: Spain, Gibraltar, Mediterranean, the Levant.",,0,3,1330,0,1,21,0,1,179,35,18
146,,Spain,Europe,Leopold Bloom,4.211,4,211,"Coming all that way: Spain, Gibraltar, Mediterranean, the Levant.",,0,76,1330,0,1,21,0,23,179,40.43333,-3.7
147,Gibraltar,Britain,Europe,Leopold Bloom,4.211,4,211,"Coming all that way: Spain, Gibraltar, Mediterranean, the Levant.",,26,85,1330,2,2,21,8,16,179,36.13333,-5.35
148,Jaffa,Turkish Empire,Asia,Leopold Bloom,4.212,4,212,"Crates lined up on the quayside at Jaffa, chap ticking them off in a book...",,3,109,186,2,12,14,3,31,48,32.05,34.75
149,Levant,Turkish Empire,Asia,Leopold Bloom,4.212,4,212,"Coming all that way: Spain, Gibraltar, Mediterranean, the Levant.",,1,109,186,1,12,14,1,31,48,32.3,35.5
150,,Norway,Europe,Leopold Bloom,4.215,4,215,Chap you know just to salute bit of a bore. His back is like that Norwegian capt,,0,2,1330,0,1,21,0,1,179,61,8
151,Dead Sea,Turkish Empire,Asia,Leopold Bloom,4.219,4,219,"A barren land, bare waste. Vulcanic lake, the dead sea: no fish, weedless...""",,7,109,186,1,12,14,2,31,48,31.5,35.5
152,Edom,Turkish Empire,Asia,Leopold Bloom,4.222,4,222,"Brimstone they called it raining down: the cities of the plain: Sodom, gomorrah,",,1,109,186,1,12,14,1,31,48,31.2,35.38
153,Gomorrah,Turkish Empire,Asia,Leopold Bloom,4.222,4,222,"Brimstone they called it raining down: the cities of the plain: Sodom, gomorrah,",,2,109,186,1,12,14,1,31,48,31.13159,35.5294
154,Sodom,Turkish Empire,Asia,Leopold Bloom,4.222,4,222,"Brimstone they called it raining down: the cities of the plain: Sodom, gomorrah,",,1,109,186,1,12,14,1,31,48,31.25393,35.53418
155,Mullingar,Ireland,Europe,Leopold Bloom,4.25,4,250,He lookked at them. Mullingar. Milly.,,10,556,1330,1,9,21,6,71,179,53.5224,-7.3378
156,lough Owel,Ireland,Europe,Leopold Bloom,4.281,4,281,"Then he split open his letter, glancing down the page and over. Thanks: new tam:",,2,556,1330,2,9,21,1,71,179,53.57306,-7.38833
157,,Greece,Europe,Leopold Bloom,4.341,4,341,"Metempsychosis, he said, frowning. It's Greek: from the Greek.",,0,45,1330,0,3,21,0,6,179,39,22
158,,Italy,Europe,Leopold Bloom,4.347,4,347,Hello. Illustration. Fierce Italian with carriagewhip.,,0,76,1330,0,1,21,0,9,179,43,12
159,,Greece,Europe,Leopold Bloom,4.372,4,372,Naked nymphs: Greece: and for instance all the people that lived then.,,0,45,1330,0,3,21,0,6,179,39,22
160,,Greece,Europe,Leopold Bloom,4.375,4,375,"Metempsychosis, he said, is what the ancient Greeks called it.",,0,45,1330,0,3,21,0,6,179,39,22
